day	hour	value
1	1	5
1	2	9
1	3	2
1	4	4
1	5	2
1	6	2
1	7	10
1	8	7
1	9	1
1	10	4
1	11	3
1	12	14
1	13	3
1	14	11
1	15	12
1	16	8
1	17	2
1	18	9
1	19	3
1	20	8
1	21	8
1	22	3
1	23	6
1	24	2
2	1	3
2	2	2
2	3	1
2	4	2
2	5	11
2	6	0
2	7	2
2	8	8
2	9	0
2	10	7
2	11	5
2	12	2
2	13	2
2	14	4
2	15	13
2	16	8
2	17	14
2	18	41
2	19	55
2	20	39
2	21	32
2	22	8
2	23	9
2	24	3
3	1	9
3	2	12
3	3	4
3	4	8
3	5	3
3	6	12
3	7	3
3	8	3
3	9	17
3	10	11
3	11	0
3	12	8
3	13	8
3	14	21
3	15	12
3	16	13
3	17	4
3	18	17
3	19	21
3	20	31
3	21	13
3	22	5
3	23	6
3	24	7
4	1	3
4	2	8
4	3	7
4	4	8
4	5	5
4	6	6
4	7	7
4	8	1
4	9	2
4	10	1
4	11	3
4	12	2
4	13	3
4	14	7
4	15	12
4	16	9
4	17	5
4	18	2
4	19	12
4	20	13
4	21	5
4	22	7
4	23	7
4	24	9
5	1	2
5	2	2
5	3	4
5	4	6
5	5	1
5	6	8
5	7	10
5	8	3
5	9	4
5	10	5
5	11	1
5	12	2
5	13	12
5	14	2
5	15	12
5	16	2
5	17	5
5	18	12
5	19	8
5	20	4
5	21	6
5	22	6
5	23	2
5	24	10
6	1	2
6	2	6
6	3	3
6	4	8
6	5	6
6	6	1
6	7	2
6	8	5
6	9	6
6	10	6
6	11	6
6	12	1
6	13	4
6	14	3
6	15	7
6	16	7
6	17	1
6	18	6
6	19	8
6	20	8
6	21	5
6	22	7
6	23	2
6	24	8
7	1	3
7	2	1
7	3	1
7	4	2
7	5	1
7	6	4
7	7	4
7	8	1
7	9	3
7	10	5
7	11	3
7	12	3
7	13	1
7	14	21
7	15	4
7	16	2
7	17	2
7	18	7
7	19	4
7	20	5
7	21	10
7	22	4
7	23	3
7	24	6
