day	hour	value
1	1	9
1	2	4
1	3	4
1	4	34
1	5	4
1	6	6
1	7	4
1	8	2
1	9	3
1	10	7
1	11	1
1	12	6
1	13	3
1	14	6
1	15	5
1	16	11
1	17	15
1	18	18
1	19	9
1	20	2
1	21	10
1	22	7
1	23	8
1	24	15
2	1	8
2	2	4
2	3	2
2	4	4
2	5	5
2	6	6
2	7	4
2	8	5
2	9	4
2	10	3
2	11	3
2	12	4
2	13	4
2	14	11
2	15	14
2	16	10
2	17	10
2	18	16
2	19	3
2	20	2
2	21	11
2	22	2
2	23	4
2	24	2
3	1	2
3	2	7
3	3	18
3	4	2
3	5	3
3	6	1
3	7	2
3	8	1
3	9	6
3	10	1
3	11	2
3	12	23
3	13	3
3	14	9
3	15	31
3	16	7
3	17	2
3	18	61
3	19	67
3	20	53
3	21	51
3	22	26
3	23	35
3	24	20
4	1	22
4	2	4
4	3	15
4	4	3
4	5	11
4	6	9
4	7	11
4	8	5
4	9	3
4	10	7
4	11	4
4	12	49
4	13	8
4	14	27
4	15	13
4	16	22
4	17	11
4	18	11
4	19	27
4	20	15
4	21	5
4	22	14
4	23	7
4	24	22
5	1	11
5	2	16
5	3	3
5	4	16
5	5	2
5	6	3
5	7	4
5	8	2
5	9	3
5	10	5
5	11	3
5	12	8
5	13	11
5	14	18
5	15	18
5	16	7
5	17	2
5	18	10
5	19	12
5	20	16
5	21	6
5	22	5
5	23	7
5	24	2
6	1	10
6	2	3
6	3	1
6	4	2
6	5	4
6	6	2
6	7	4
6	8	5
6	9	13
6	10	4
6	11	4
6	12	9
6	13	17
6	14	10
6	15	3
6	16	10
6	17	5
6	18	10
6	19	15
6	20	7
6	21	21
6	22	5
6	23	4
6	24	1
7	1	5
7	2	3
7	3	13
7	4	5
7	5	7
7	6	2
7	7	2
7	8	2
7	9	2
7	10	2
7	11	1
7	12	15
7	13	3
7	14	8
7	15	11
7	16	4
7	17	8
7	18	17
7	19	3
7	20	8
7	21	8
7	22	10
7	23	4
7	24	6
