day	hour	value
1	1	6
1	2	9
1	3	12
1	4	1
1	5	1
1	6	2
1	7	2
1	8	2
1	9	5
1	10	7
1	11	7
1	12	1
1	13	11
1	14	16
1	15	16
1	16	9
1	17	3
1	18	27
1	19	12
1	20	3
1	21	3
1	22	22
1	23	7
1	24	13
2	1	5
2	2	17
2	3	6
2	4	5
2	5	4
2	6	3
2	7	5
2	8	3
2	9	5
2	10	11
2	11	8
2	12	10
2	13	12
2	14	5
2	15	20
2	16	6
2	17	8
2	18	7
2	19	13
2	20	17
2	21	62
2	22	14
2	23	14
2	24	2
3	1	24
3	2	9
3	3	14
3	4	10
3	5	10
3	6	9
3	7	9
3	8	15
3	9	12
3	10	1
3	11	3
3	12	12
3	13	17
3	14	14
3	15	9
3	16	11
3	17	17
3	18	14
3	19	20
3	20	16
3	21	18
3	22	27
3	23	18
3	24	11
4	1	10
4	2	5
4	3	10
4	4	4
4	5	6
4	6	17
4	7	9
4	8	4
4	9	4
4	10	4
4	11	13
4	12	27
4	13	20
4	14	9
4	15	16
4	16	14
4	17	3
4	18	4
4	19	9
4	20	10
4	21	4
4	22	17
4	23	23
4	24	8
5	1	2
5	2	9
5	3	6
5	4	1
5	5	8
5	6	2
5	7	12
5	8	15
5	9	3
5	10	8
5	11	16
5	12	16
5	13	10
5	14	9
5	15	6
5	16	8
5	17	13
5	18	12
5	19	6
5	20	8
5	21	6
5	22	2
5	23	3
5	24	18
6	1	6
6	2	3
6	3	4
6	4	2
6	5	5
6	6	17
6	7	5
6	8	6
6	9	7
6	10	5
6	11	11
6	12	11
6	13	4
6	14	10
6	15	5
6	16	24
6	17	6
6	18	10
6	19	8
6	20	5
6	21	10
6	22	9
6	23	10
6	24	2
7	1	11
7	2	1
7	3	1
7	4	11
7	5	8
7	6	14
7	7	2
7	8	3
7	9	5
7	10	3
7	11	4
7	12	8
7	13	5
7	14	4
7	15	7
7	16	3
7	17	13
7	18	4
7	19	6
7	20	12
7	21	4
7	22	6
7	23	10
7	24	1
