day	hour	value
1	1	1
1	2	1
1	3	10
1	4	3
1	5	2
1	6	1
1	7	2
1	8	6
1	9	7
1	10	2
1	11	3
1	12	6
1	13	4
1	14	5
1	15	9
1	16	13
1	17	7
1	18	15
1	19	8
1	20	2
1	21	18
1	22	16
1	23	11
1	24	7
2	1	3
2	2	4
2	3	3
2	4	2
2	5	5
2	6	4
2	7	6
2	8	12
2	9	4
2	10	5
2	11	10
2	12	12
2	13	2
2	14	11
2	15	10
2	16	18
2	17	4
2	18	10
2	19	39
2	20	11
2	21	14
2	22	9
2	23	9
2	24	2
3	1	8
3	2	4
3	3	7
3	4	7
3	5	5
3	6	2
3	7	2
3	8	16
3	9	15
3	10	15
3	11	9
3	12	14
3	13	8
3	14	28
3	15	10
3	16	21
3	17	11
3	18	6
3	19	8
3	20	10
3	21	11
3	22	12
3	23	5
3	24	17
4	1	2
4	2	1
4	3	4
4	4	8
4	5	4
4	6	2
4	7	17
4	8	8
4	9	22
4	10	7
4	11	12
4	12	6
4	13	2
4	14	5
4	15	14
4	16	6
4	17	3
4	18	10
4	19	8
4	20	13
4	21	3
4	22	15
4	23	12
4	24	1
5	1	2
5	2	3
5	3	15
5	4	1
5	5	1
5	6	2
5	7	5
5	8	5
5	9	9
5	10	13
5	11	11
5	12	6
5	13	3
5	14	12
5	15	14
5	16	3
5	17	17
5	18	17
5	19	6
5	20	10
5	21	8
5	22	2
5	23	10
5	24	5
6	1	1
6	2	15
6	3	13
6	4	5
6	5	2
6	6	10
6	7	4
6	8	15
6	9	9
6	10	9
6	11	6
6	12	7
6	13	18
6	14	11
6	15	8
6	16	7
6	17	2
6	18	8
6	19	12
6	20	14
6	21	18
6	22	7
6	23	13
6	24	9
7	1	7
7	2	4
7	3	9
7	4	1
7	5	4
7	6	4
7	7	2
7	8	6
7	9	8
7	10	4
7	11	5
7	12	5
7	13	15
7	14	5
7	15	8
7	16	10
7	17	17
7	18	5
7	19	2
7	20	9
7	21	2
7	22	8
7	23	2
7	24	7
