day	hour	value
1	1	6
1	2	5
1	3	2
1	4	3
1	5	4
1	6	10
1	7	8
1	8	7
1	9	6
1	10	2
1	11	3
1	12	3
1	13	4
1	14	14
1	15	6
1	16	21
1	17	16
1	18	5
1	19	16
1	20	8
1	21	10
1	22	12
1	23	2
1	24	1
2	1	22
2	2	10
2	3	11
2	4	2
2	5	1
2	6	1
2	7	2
2	8	4
2	9	5
2	10	6
2	11	3
2	12	1
2	13	6
2	14	13
2	15	74
2	16	25
2	17	49
2	18	37
2	19	30
2	20	30
2	21	22
2	22	12
2	23	8
2	24	17
3	1	6
3	2	13
3	3	4
3	4	7
3	5	12
3	6	7
3	7	3
3	8	3
3	9	3
3	10	1
3	11	7
3	12	21
3	13	27
3	14	28
3	15	11
3	16	13
3	17	13
3	18	14
3	19	18
3	20	10
3	21	10
3	22	12
3	23	16
3	24	5
4	1	4
4	2	15
4	3	19
4	4	3
4	5	13
4	6	2
4	7	3
4	8	5
4	9	6
4	10	2
4	11	10
4	12	7
4	13	8
4	14	8
4	15	26
4	16	21
4	17	10
4	18	5
4	19	18
4	20	14
4	21	10
4	22	4
4	23	3
4	24	15
5	1	15
5	2	2
5	3	4
5	4	5
5	5	3
5	6	4
5	7	5
5	8	6
5	9	3
5	10	7
5	11	6
5	12	3
5	13	22
5	14	9
5	15	27
5	16	18
5	17	24
5	18	9
5	19	5
5	20	18
5	21	4
5	22	6
5	23	19
5	24	4
6	1	8
6	2	5
6	3	3
6	4	4
6	5	2
6	6	3
6	7	4
6	8	5
6	9	7
6	10	2
6	11	5
6	12	10
6	13	13
6	14	6
6	15	2
6	16	2
6	17	3
6	18	2
6	19	2
6	20	5
6	21	2
6	22	2
6	23	3
6	24	7
7	1	2
7	2	3
7	3	2
7	4	3
7	5	2
7	6	4
7	7	5
7	8	6
7	9	4
7	10	7
7	11	10
7	12	11
7	13	11
7	14	3
7	15	2
7	16	2
7	17	7
7	18	13
7	19	2
7	20	5
7	21	3
7	22	2
7	23	9
7	24	4
